date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25
2013-02-25,['indiana'],['gonzaga'],['duke'],['michigan'],['miami-fl'],['kansas'],['georgetown'],['florida'],['michigan-state'],['louisville'],['arizona'],['syracuse'],['kansas-state'],['new-mexico'],['oklahoma-state'],['ohio-state'],['wisconsin'],['saint-louis'],['memphis'],['butler'],['notre-dame'],['marquette'],['pittsburgh'],['oregon'],['louisiana-tech']
2013-03-04,['gonzaga'],['indiana'],['duke'],['kansas'],['georgetown'],['miami-fl'],['michigan'],['louisville'],['kansas-state'],['michigan-state'],['florida'],['new-mexico'],['oklahoma-state'],['ohio-state'],['marquette'],['saint-louis'],['syracuse'],['arizona'],['oregon'],['pittsburgh'],['virginia-commonwealth'],['wisconsin'],['ucla'],['notre-dame'],['memphis']
2013-03-11,['gonzaga'],['duke'],['indiana'],['louisville'],['georgetown'],['michigan'],['kansas'],['michigan-state'],['miami-fl'],['ohio-state'],['kansas-state'],['marquette'],['florida'],['oklahoma-state'],['new-mexico'],['saint-louis'],['pittsburgh'],['arizona'],['syracuse'],['memphis'],['ucla'],['wisconsin'],['creighton'],['notre-dame'],['virginia-commonwealth']
2013-05-01,['gonzaga'],['louisville'],['kansas'],['indiana'],['miami-fl'],['duke'],['ohio-state'],['georgetown'],['michigan-state'],"['michigan', 'new-mexico']",[],['kansas-state'],['saint-louis'],['florida'],['marquette'],['syracuse'],['oklahoma-state'],['wisconsin'],['memphis'],['pittsburgh'],['arizona'],['creighton'],['notre-dame'],['ucla'],['oregon']
2013-10-01,['kentucky'],['michigan-state'],['louisville'],['duke'],['kansas'],['arizona'],['michigan'],['syracuse'],['oklahoma-state'],['florida'],['ohio-state'],['north-carolina'],['memphis'],['virginia-commonwealth'],['gonzaga'],['wichita-state'],['marquette'],['connecticut'],['oregon'],['wisconsin'],['notre-dame'],['ucla'],['new-mexico'],['virginia'],['baylor']
2013-11-11,['kentucky'],['michigan-state'],['louisville'],['duke'],['kansas'],['arizona'],['michigan'],['oklahoma-state'],['syracuse'],['ohio-state'],['florida'],['north-carolina'],['memphis'],['virginia-commonwealth'],['gonzaga'],['wichita-state'],['marquette'],['oregon'],['connecticut'],['wisconsin'],['notre-dame'],['new-mexico'],['baylor'],['ucla'],['virginia']
2013-11-18,['michigan-state'],['kansas'],['louisville'],['kentucky'],['arizona'],['duke'],['oklahoma-state'],['ohio-state'],['syracuse'],['virginia-commonwealth'],['memphis'],['wisconsin'],['gonzaga'],['wichita-state'],['michigan'],['florida'],['oregon'],['connecticut'],['new-mexico'],['baylor'],['iowa-state'],['ucla'],['creighton'],['north-carolina'],['marquette']
2013-11-25,['michigan-state'],['kansas'],['kentucky'],['arizona'],['oklahoma-state'],['duke'],['ohio-state'],['syracuse'],['louisville'],['wisconsin'],['gonzaga'],['wichita-state'],['connecticut'],['oregon'],['florida'],['north-carolina'],['iowa-state'],['baylor'],['ucla'],['creighton'],['memphis'],['michigan'],['iowa'],['massachusetts'],['marquette']
2013-12-02,['michigan-state'],['arizona'],['kentucky'],['syracuse'],['ohio-state'],['kansas'],['louisville'],['wisconsin'],['oklahoma-state'],['duke'],['wichita-state'],['connecticut'],['oregon'],['villanova'],['florida'],['memphis'],['iowa-state'],['ucla'],['gonzaga'],['baylor'],['massachusetts'],['michigan'],['iowa'],['san-diego-state'],['dayton']
2013-12-09,['arizona'],['syracuse'],['ohio-state'],['wisconsin'],['michigan-state'],['louisville'],['oklahoma-state'],['duke'],['connecticut'],['villanova'],['kentucky'],['wichita-state'],['kansas'],['baylor'],['oregon'],['memphis'],['iowa-state'],['north-carolina'],['florida'],['gonzaga'],['colorado'],['massachusetts'],['iowa'],['missouri'],['san-diego-state']
2013-12-16,['arizona'],['syracuse'],['ohio-state'],['wisconsin'],['michigan-state'],['louisville'],['oklahoma-state'],"['duke', 'villanova']",[],['connecticut'],['wichita-state'],['baylor'],['oregon'],['north-carolina'],['memphis'],['florida'],['iowa-state'],['kansas'],['kentucky'],['colorado'],['gonzaga'],['massachusetts'],['missouri'],['san-diego-state'],['iowa']
2013-12-23,['arizona'],['syracuse'],['ohio-state'],['wisconsin'],['michigan-state'],['louisville'],['oklahoma-state'],"['duke', 'villanova']",[],['wichita-state'],['baylor'],['oregon'],['florida'],['iowa-state'],['connecticut'],['kansas'],['memphis'],['kentucky'],['north-carolina'],['san-diego-state'],['colorado'],['iowa'],['massachusetts'],['gonzaga'],['missouri']
2013-12-30,['arizona'],['syracuse'],['ohio-state'],['wisconsin'],['michigan-state'],['oklahoma-state'],['duke'],['wichita-state'],['baylor'],['oregon'],['villanova'],['florida'],['iowa-state'],['louisville'],['kentucky'],['kansas'],['connecticut'],['memphis'],['north-carolina'],['colorado'],['san-diego-state'],['iowa'],['massachusetts'],['gonzaga'],['missouri']
2014-01-06,['arizona'],['syracuse'],['ohio-state'],['wisconsin'],['michigan-state'],['wichita-state'],['baylor'],['villanova'],['iowa-state'],['florida'],['oklahoma-state'],['louisville'],['san-diego-state'],['kentucky'],['colorado'],['duke'],['oregon'],['kansas'],['massachusetts'],['iowa'],['missouri'],['gonzaga'],['illinois'],['memphis'],['kansas-state']
2014-01-13,['arizona'],['syracuse'],['wisconsin'],['michigan-state'],['wichita-state'],['villanova'],['florida'],['iowa-state'],['oklahoma-state'],['san-diego-state'],['ohio-state'],['baylor'],['kentucky'],['iowa'],['kansas'],['massachusetts'],['memphis'],['louisville'],['cincinnati'],['creighton'],['colorado'],['pittsburgh'],['duke'],['saint-louis'],['oklahoma']
2014-01-20,['arizona'],['syracuse'],['michigan-state'],['villanova'],['wichita-state'],['florida'],['san-diego-state'],['kansas'],['wisconsin'],['iowa'],['oklahoma-state'],['louisville'],['massachusetts'],['kentucky'],['cincinnati'],['iowa-state'],['ohio-state'],['duke'],['saint-louis'],['pittsburgh'],['michigan'],['kansas-state'],['memphis'],['baylor'],['oklahoma']
2014-01-27,['arizona'],['syracuse'],['florida'],['wichita-state'],['san-diego-state'],['kansas'],['michigan-state'],['oklahoma-state'],['villanova'],['michigan'],['kentucky'],['louisville'],['cincinnati'],['wisconsin'],['iowa'],['iowa-state'],['duke'],['pittsburgh'],['saint-louis'],['creighton'],['massachusetts'],['memphis'],['oklahoma'],['ohio-state'],['texas']
2014-02-03,['syracuse'],['arizona'],['florida'],['wichita-state'],['san-diego-state'],['villanova'],['cincinnati'],['kansas'],['michigan-state'],['michigan'],['duke'],['creighton'],['saint-louis'],['louisville'],['texas'],['iowa-state'],['iowa'],['kentucky'],['oklahoma-state'],['virginia'],['oklahoma'],['connecticut'],['gonzaga'],['memphis'],['pittsburgh']
2014-02-10,['syracuse'],['arizona'],['florida'],['wichita-state'],['san-diego-state'],['villanova'],['kansas'],['duke'],['michigan-state'],['cincinnati'],['iowa-state'],['saint-louis'],['louisville'],['kentucky'],['michigan'],['iowa'],['virginia'],['creighton'],['texas'],['memphis'],['wisconsin'],['ohio-state'],['southern-methodist'],['connecticut'],['pittsburgh']
2014-02-17,['syracuse'],['florida'],['wichita-state'],['arizona'],['duke'],['san-diego-state'],['cincinnati'],['kansas'],['villanova'],['saint-louis'],['louisville'],['creighton'],['michigan-state'],['virginia'],['iowa'],['wisconsin'],['iowa-state'],['kentucky'],['texas'],['michigan'],['connecticut'],['memphis'],['ucla'],['ohio-state'],['gonzaga']
2014-02-24,['florida'],['wichita-state'],['arizona'],['syracuse'],['kansas'],['duke'],['louisville'],['villanova'],['creighton'],['saint-louis'],['cincinnati'],['virginia'],['san-diego-state'],['wisconsin'],['iowa-state'],['michigan'],['kentucky'],['michigan-state'],['north-carolina'],['iowa'],['memphis'],['ohio-state'],['southern-methodist'],['texas'],['new-mexico']
2014-03-03,['florida'],['wichita-state'],['arizona'],['duke'],['virginia'],['villanova'],['syracuse'],['kansas'],['wisconsin'],['san-diego-state'],['louisville'],['michigan'],['creighton'],['north-carolina'],['cincinnati'],['iowa-state'],['saint-louis'],['southern-methodist'],['connecticut'],['memphis'],['new-mexico'],['michigan-state'],['oklahoma'],['iowa'],['kentucky']
2014-03-10,['florida'],['wichita-state'],['villanova'],['arizona'],['louisville'],['virginia'],['duke'],['michigan'],['san-diego-state'],['kansas'],['syracuse'],['wisconsin'],['cincinnati'],['creighton'],['north-carolina'],['iowa-state'],['oklahoma'],['saint-louis'],['memphis'],['new-mexico'],['connecticut'],['michigan-state'],['virginia-commonwealth'],['ohio-state'],['southern-methodist']
2014-05-01,['florida'],['wichita-state'],['virginia'],['arizona'],['louisville'],['villanova'],['michigan'],['duke'],['iowa-state'],['kansas'],['michigan-state'],['wisconsin'],['san-diego-state'],['syracuse'],['cincinnati'],['creighton'],['new-mexico'],['connecticut'],['north-carolina'],['ucla'],['oklahoma'],['ohio-state'],['baylor'],['virginia-commonwealth'],['saint-louis']
2014-10-01,['kentucky'],['arizona'],['wisconsin'],['duke'],['kansas'],['north-carolina'],['florida'],['louisville'],['virginia'],['texas'],['wichita-state'],['villanova'],['gonzaga'],['iowa-state'],['virginia-commonwealth'],['san-diego-state'],['connecticut'],['michigan-state'],['oklahoma'],['ohio-state'],['nebraska'],['southern-methodist'],['syracuse'],['michigan'],"['harvard', 'utah']"
2014-11-17,['kentucky'],['arizona'],['wisconsin'],['duke'],['kansas'],['north-carolina'],['louisville'],['florida'],['virginia'],['texas'],['wichita-state'],['villanova'],['gonzaga'],['iowa-state'],['virginia-commonwealth'],['san-diego-state'],['connecticut'],['oklahoma'],['michigan-state'],['ohio-state'],['nebraska'],['southern-methodist'],['syracuse'],['michigan'],['utah']
2014-11-24,['kentucky'],['wisconsin'],['arizona'],['duke'],['north-carolina'],['louisville'],['texas'],['virginia'],['wichita-state'],['gonzaga'],['kansas'],['villanova'],['iowa-state'],['virginia-commonwealth'],['san-diego-state'],['ohio-state'],['miami-fl'],['florida'],['michigan'],['michigan-state'],['west-virginia'],['ucla'],['creighton'],['connecticut'],['arkansas']
2014-12-01,['kentucky'],['wisconsin'],['arizona'],['duke'],['louisville'],['texas'],['virginia'],['wichita-state'],['gonzaga'],['villanova'],['kansas'],['north-carolina'],['san-diego-state'],['ohio-state'],['miami-fl'],['west-virginia'],['michigan'],['arkansas'],['michigan-state'],['iowa-state'],['maryland'],['oklahoma'],['butler'],['illinois'],['utah']
2014-12-08,['kentucky'],['duke'],['arizona'],['louisville'],['wisconsin'],['virginia'],['villanova'],['texas'],['gonzaga'],['kansas'],['wichita-state'],['ohio-state'],['utah'],['iowa-state'],['butler'],['oklahoma'],['washington'],['san-diego-state'],['maryland'],['miami-fl'],['north-carolina'],['west-virginia'],['northern-iowa'],['st-johns-ny'],['notre-dame']
2014-12-15,['kentucky'],['duke'],['arizona'],['louisville'],['wisconsin'],['virginia'],['villanova'],['gonzaga'],['texas'],['kansas'],['wichita-state'],['ohio-state'],['iowa-state'],['utah'],['oklahoma'],['washington'],['maryland'],['miami-fl'],['san-diego-state'],['st-johns-ny'],['notre-dame'],['west-virginia'],['butler'],['north-carolina'],['michigan-state']
2014-12-22,['kentucky'],['duke'],['arizona'],['louisville'],['virginia'],['wisconsin'],['villanova'],['gonzaga'],['texas'],['kansas'],['wichita-state'],['iowa-state'],['washington'],['utah'],['maryland'],['notre-dame'],['st-johns-ny'],['west-virginia'],['oklahoma'],['north-carolina'],['ohio-state'],['baylor'],['northern-iowa'],['colorado-state'],['texas-christian']
2014-12-29,['kentucky'],['duke'],['virginia'],['wisconsin'],['louisville'],['villanova'],['gonzaga'],['arizona'],['iowa-state'],['utah'],['texas'],['maryland'],['kansas'],['notre-dame'],['st-johns-ny'],['wichita-state'],['west-virginia'],['oklahoma'],['north-carolina'],['ohio-state'],['washington'],['baylor'],['northern-iowa'],['colorado-state'],['georgetown']
2015-01-05,['kentucky'],['duke'],['virginia'],['wisconsin'],['louisville'],['gonzaga'],['arizona'],['villanova'],['utah'],['texas'],['maryland'],['kansas'],['notre-dame'],['west-virginia'],['wichita-state'],['oklahoma'],['iowa-state'],['north-carolina'],['seton-hall'],['virginia-commonwealth'],['baylor'],['ohio-state'],['arkansas'],['st-johns-ny'],['old-dominion']
2015-01-12,['kentucky'],['virginia'],['gonzaga'],['duke'],['villanova'],['louisville'],['wisconsin'],['utah'],['kansas'],['arizona'],['iowa-state'],['notre-dame'],['wichita-state'],['maryland'],['north-carolina'],['west-virginia'],['virginia-commonwealth'],['oklahoma'],['arkansas'],['texas'],['seton-hall'],['baylor'],['northern-iowa'],['oklahoma-state'],['wyoming']
2015-01-19,['kentucky'],['virginia'],['gonzaga'],['villanova'],['duke'],['wisconsin'],['arizona'],['notre-dame'],['iowa-state'],['louisville'],['kansas'],['utah'],['maryland'],['wichita-state'],['north-carolina'],['virginia-commonwealth'],['texas'],['west-virginia'],['oklahoma'],['northern-iowa'],['baylor'],['dayton'],['indiana'],['seton-hall'],['iowa']
2015-01-26,['kentucky'],['virginia'],['gonzaga'],['duke'],['wisconsin'],['arizona'],['villanova'],['notre-dame'],['kansas'],['louisville'],['utah'],['wichita-state'],['north-carolina'],['virginia-commonwealth'],['iowa-state'],['maryland'],['west-virginia'],['northern-iowa'],['texas'],['baylor'],['georgetown'],['indiana'],['miami-fl'],['oklahoma'],['butler']
2015-02-02,['kentucky'],['gonzaga'],['virginia'],['duke'],['wisconsin'],['arizona'],['villanova'],['kansas'],['louisville'],['notre-dame'],['iowa-state'],['north-carolina'],['utah'],['northern-iowa'],['west-virginia'],['wichita-state'],['maryland'],['virginia-commonwealth'],['baylor'],['ohio-state'],['oklahoma'],['butler'],['southern-methodist'],['georgetown'],['texas']
2015-02-09,['kentucky'],['virginia'],['gonzaga'],['duke'],['wisconsin'],['villanova'],['arizona'],['kansas'],['louisville'],['notre-dame'],['utah'],['north-carolina'],['northern-iowa'],['iowa-state'],['wichita-state'],['baylor'],['oklahoma'],['butler'],['maryland'],['virginia-commonwealth'],['west-virginia'],['oklahoma-state'],['ohio-state'],['arkansas'],['southern-methodist']
2015-02-16,['kentucky'],['virginia'],['gonzaga'],['duke'],['wisconsin'],['villanova'],['arizona'],['kansas'],['utah'],['notre-dame'],['northern-iowa'],['louisville'],['wichita-state'],['iowa-state'],['north-carolina'],['maryland'],['oklahoma'],['arkansas'],['butler'],['baylor'],['southern-methodist'],['oklahoma-state'],['west-virginia'],['ohio-state'],['virginia-commonwealth']
2015-02-23,['kentucky'],['virginia'],['gonzaga'],['duke'],['wisconsin'],['villanova'],['arizona'],['kansas'],['notre-dame'],['northern-iowa'],['wichita-state'],['iowa-state'],['utah'],['maryland'],['north-carolina'],['oklahoma'],['louisville'],['arkansas'],['baylor'],['west-virginia'],['southern-methodist'],['virginia-commonwealth'],['butler'],['san-diego-state'],['providence']
2015-03-02,['kentucky'],['virginia'],['duke'],['villanova'],['arizona'],['wisconsin'],['gonzaga'],['wichita-state'],['kansas'],['maryland'],['northern-iowa'],['notre-dame'],['utah'],['baylor'],['oklahoma'],['louisville'],['iowa-state'],['arkansas'],['north-carolina'],['west-virginia'],['butler'],['southern-methodist'],['ohio-state'],['providence'],['murray-state']
2015-03-09,['kentucky'],['duke'],['virginia'],['villanova'],['arizona'],['wisconsin'],['gonzaga'],['maryland'],['kansas'],['northern-iowa'],['notre-dame'],['wichita-state'],['iowa-state'],['louisville'],['oklahoma'],['baylor'],['utah'],['west-virginia'],['north-carolina'],['southern-methodist'],['arkansas'],['butler'],['georgetown'],['davidson'],['boise-state']
2015-05-01,['kentucky'],['villanova'],['wisconsin'],['duke'],['arizona'],['virginia'],['gonzaga'],['notre-dame'],['iowa-state'],['kansas'],['northern-iowa'],['maryland'],['oklahoma'],['wichita-state'],['north-carolina'],['baylor'],['louisville'],['southern-methodist'],['utah'],['west-virginia'],['arkansas'],['georgetown'],['michigan-state'],['butler'],['virginia-commonwealth']
2015-10-01,['north-carolina'],['kentucky'],['maryland'],['kansas'],['duke'],['virginia'],['iowa-state'],['oklahoma'],['gonzaga'],['wichita-state'],['villanova'],['arizona'],['michigan-state'],['california'],['indiana'],['utah'],['wisconsin'],['vanderbilt'],['notre-dame'],['connecticut'],['louisiana-state'],['baylor'],['purdue'],['butler'],['michigan']
2015-11-16,['north-carolina'],['kentucky'],['maryland'],['kansas'],['duke'],['virginia'],['iowa-state'],['oklahoma'],['wichita-state'],['gonzaga'],['villanova'],['arizona'],['michigan-state'],['indiana'],['california'],['utah'],['vanderbilt'],['notre-dame'],['connecticut'],['baylor'],['purdue'],['butler'],['louisiana-state'],['michigan'],['oregon']
2015-11-23,['kentucky'],['maryland'],['michigan-state'],['iowa-state'],['kansas'],['duke'],['oklahoma'],['villanova'],['north-carolina'],['gonzaga'],['arizona'],['virginia'],['indiana'],['california'],['miami-fl'],['purdue'],['notre-dame'],['connecticut'],['vanderbilt'],['wichita-state'],['oregon'],['louisiana-state'],['xavier'],['cincinnati'],"['southern-methodist', 'texas-am']"
2015-11-30,['kentucky'],['maryland'],['michigan-state'],['kansas'],['iowa-state'],['oklahoma'],['duke'],['villanova'],['north-carolina'],['virginia'],['purdue'],['xavier'],['gonzaga'],['syracuse'],['oregon'],['vanderbilt'],['cincinnati'],['texas-am'],['arizona'],['west-virginia'],['miami-fl'],['southern-methodist'],['providence'],['louisville'],['baylor']
2015-12-07,['michigan-state'],['kansas'],['north-carolina'],['iowa-state'],['kentucky'],['maryland'],['oklahoma'],['duke'],['villanova'],['virginia'],['purdue'],['xavier'],['arizona'],['west-virginia'],['providence'],['baylor'],['miami-fl'],['butler'],['southern-methodist'],['gonzaga'],['vanderbilt'],['louisville'],['cincinnati'],['oregon'],['utah']
2015-12-14,['michigan-state'],['kansas'],['oklahoma'],['kentucky'],['iowa-state'],['maryland'],['duke'],['virginia'],['purdue'],['xavier'],['north-carolina'],['villanova'],['arizona'],['providence'],['miami-fl'],['baylor'],['butler'],['southern-methodist'],['louisville'],['west-virginia'],['george-washington'],['ucla'],['cincinnati'],['texas-am'],['connecticut']
2015-12-21,['michigan-state'],['kansas'],['oklahoma'],['maryland'],['virginia'],['xavier'],['north-carolina'],['arizona'],['butler'],['providence'],['iowa-state'],['kentucky'],['miami-fl'],['purdue'],['duke'],['louisville'],['villanova'],['southern-methodist'],['west-virginia'],['george-washington'],['texas-am'],['cincinnati'],['baylor'],['utah'],['south-carolina']
2015-12-28,['michigan-state'],['kansas'],['oklahoma'],['maryland'],['virginia'],['xavier'],['north-carolina'],['arizona'],['butler'],['kentucky'],['iowa-state'],['providence'],['miami-fl'],['purdue'],['duke'],['villanova'],['southern-methodist'],['louisville'],['west-virginia'],['texas-am'],['utah'],['cincinnati'],['baylor'],['south-carolina'],['ucla']
2016-01-04,['kansas'],['oklahoma'],['maryland'],['virginia'],['michigan-state'],['north-carolina'],['arizona'],['providence'],['kentucky'],['xavier'],['villanova'],['miami-fl'],['iowa-state'],['duke'],['southern-methodist'],['louisville'],['west-virginia'],['butler'],['iowa'],['purdue'],['texas-am'],['south-carolina'],['connecticut'],['pittsburgh'],['dayton']
2016-01-11,['kansas'],['oklahoma'],['maryland'],['michigan-state'],['north-carolina'],['villanova'],['xavier'],['miami-fl'],['duke'],['southern-methodist'],['west-virginia'],['providence'],['virginia'],['kentucky'],['texas-am'],['iowa'],['iowa-state'],['arizona'],['south-carolina'],['pittsburgh'],['louisville'],['baylor'],['butler'],['purdue'],['gonzaga']
2016-01-18,['oklahoma'],['north-carolina'],['kansas'],['villanova'],['xavier'],['west-virginia'],['maryland'],['southern-methodist'],['iowa'],['texas-am'],['michigan-state'],['arizona'],['virginia'],['baylor'],['miami-fl'],['providence'],['louisville'],['butler'],['iowa-state'],['duke'],['southern-california'],['purdue'],['kentucky'],['south-carolina'],['indiana']
2016-01-25,['oklahoma'],['north-carolina'],['iowa'],['kansas'],['texas-am'],['villanova'],['xavier'],['maryland'],['west-virginia'],['providence'],['virginia'],['michigan-state'],['southern-methodist'],['iowa-state'],['miami-fl'],['louisville'],['baylor'],['arizona'],['indiana'],['kentucky'],['purdue'],['wichita-state'],['oregon'],['duke'],['notre-dame']
2016-02-01,['oklahoma'],['north-carolina'],['villanova'],['maryland'],['iowa'],['xavier'],['kansas'],['texas-am'],['virginia'],['michigan-state'],['providence'],['southern-methodist'],['iowa-state'],['west-virginia'],['baylor'],['oregon'],['miami-fl'],['purdue'],['louisville'],['kentucky'],['wichita-state'],['indiana'],['arizona'],['dayton'],['south-carolina']
2016-02-08,['villanova'],['maryland'],['oklahoma'],['iowa'],['xavier'],['kansas'],['virginia'],['michigan-state'],['north-carolina'],['west-virginia'],['oregon'],['miami-fl'],['louisville'],['iowa-state'],['texas-am'],['southern-methodist'],['arizona'],['purdue'],['dayton'],['providence'],['baylor'],['kentucky'],['southern-california'],['texas'],['wichita-state']
2016-02-15,['villanova'],['kansas'],['oklahoma'],['iowa'],['north-carolina'],['maryland'],['virginia'],"['michigan-state', 'xavier']",[],['west-virginia'],['miami-fl'],['arizona'],['iowa-state'],['kentucky'],['dayton'],['oregon'],['purdue'],['louisville'],['notre-dame'],['duke'],['southern-methodist'],['indiana'],['providence'],['texas'],['baylor']
2016-02-22,['villanova'],['kansas'],"['oklahoma', 'virginia']",[],['xavier'],['michigan-state'],['north-carolina'],"['arizona', 'iowa']",[],['maryland'],['louisville'],['miami-fl'],['oregon'],['west-virginia'],['duke'],['kentucky'],['iowa-state'],['indiana'],['baylor'],['purdue'],['texas-am'],['utah'],['notre-dame'],['southern-methodist'],['texas']
2016-02-29,['kansas'],['michigan-state'],['villanova'],['virginia'],['xavier'],['oklahoma'],['miami-fl'],['north-carolina'],['oregon'],['west-virginia'],['louisville'],['indiana'],['utah'],['maryland'],['purdue'],['iowa'],['duke'],['arizona'],['baylor'],['texas-am'],['iowa-state'],['kentucky'],['texas'],['southern-methodist'],['california']
2016-03-07,['kansas'],['michigan-state'],['villanova'],['virginia'],['xavier'],['oklahoma'],['north-carolina'],['oregon'],['west-virginia'],['indiana'],['miami-fl'],['utah'],['purdue'],['louisville'],['arizona'],['kentucky'],['texas-am'],['maryland'],['duke'],['iowa'],['iowa-state'],['baylor'],['texas'],['california'],['southern-methodist']
2016-05-01,['kansas'],['michigan-state'],['north-carolina'],['virginia'],['oregon'],['villanova'],['oklahoma'],['west-virginia'],['xavier'],"['kentucky', 'miami-fl']",[],['purdue'],['utah'],['indiana'],['texas-am'],['louisville'],['arizona'],['maryland'],['duke'],['seton-hall'],['baylor'],['iowa-state'],['california'],['southern-methodist'],['iowa']
2016-10-01,['duke'],['kentucky'],['kansas'],['villanova'],['oregon'],['north-carolina'],['xavier'],['virginia'],['wisconsin'],['arizona'],['indiana'],['michigan-state'],['louisville'],['gonzaga'],['purdue'],['ucla'],['saint-marys-ca'],['connecticut'],['syracuse'],['west-virginia'],['texas'],['creighton'],['rhode-island'],['iowa-state'],['maryland']
2016-11-14,['duke'],['kentucky'],['villanova'],['oregon'],['north-carolina'],['indiana'],['kansas'],['virginia'],['wisconsin'],['arizona'],['xavier'],['louisville'],['michigan-state'],['gonzaga'],['purdue'],['ucla'],['saint-marys-ca'],['syracuse'],['west-virginia'],['iowa-state'],['rhode-island'],['creighton'],['texas'],['cincinnati'],['california']
2016-11-21,['kentucky'],['villanova'],['indiana'],['north-carolina'],['kansas'],['duke'],['virginia'],['arizona'],['xavier'],['louisville'],['gonzaga'],['creighton'],['oregon'],['ucla'],['saint-marys-ca'],['wisconsin'],['purdue'],['syracuse'],['west-virginia'],['baylor'],['iowa-state'],['texas'],['rhode-island'],['michigan-state'],"['florida-state', 'michigan']"
2016-11-28,['kentucky'],['villanova'],['north-carolina'],['kansas'],['duke'],['virginia'],['xavier'],['gonzaga'],['baylor'],['creighton'],['ucla'],['saint-marys-ca'],['indiana'],['louisville'],['purdue'],['arizona'],['wisconsin'],['butler'],['iowa-state'],['south-carolina'],['rhode-island'],['syracuse'],['oregon'],['florida'],['west-virginia']
2016-12-05,['villanova'],['ucla'],['kansas'],['baylor'],['duke'],['kentucky'],['north-carolina'],['gonzaga'],['indiana'],['creighton'],['louisville'],['saint-marys-ca'],['xavier'],['virginia'],['west-virginia'],['butler'],['wisconsin'],['purdue'],['south-carolina'],['arizona'],['florida'],['cincinnati'],['notre-dame'],['oregon'],['iowa-state']
2016-12-12,['villanova'],['ucla'],['kansas'],['baylor'],['duke'],['kentucky'],['north-carolina'],['gonzaga'],['indiana'],['creighton'],['louisville'],['west-virginia'],['virginia'],['wisconsin'],['purdue'],['south-carolina'],['xavier'],['butler'],['arizona'],['saint-marys-ca'],['notre-dame'],['oregon'],['florida-state'],['southern-california'],['cincinnati']
2016-12-19,['villanova'],['ucla'],['kansas'],['baylor'],['duke'],['kentucky'],['gonzaga'],['north-carolina'],['creighton'],['louisville'],['west-virginia'],['virginia'],['butler'],['wisconsin'],['purdue'],['indiana'],['xavier'],['arizona'],['saint-marys-ca'],['oregon'],['florida-state'],['south-carolina'],['southern-california'],['cincinnati'],['notre-dame']
2016-12-26,['villanova'],['ucla'],['kansas'],['baylor'],['duke'],['louisville'],['gonzaga'],['kentucky'],['north-carolina'],['creighton'],['west-virginia'],['virginia'],['butler'],['wisconsin'],['purdue'],['indiana'],['xavier'],['arizona'],['saint-marys-ca'],['florida-state'],['oregon'],['southern-california'],['cincinnati'],['notre-dame'],['florida']
2017-01-02,['villanova'],['baylor'],['kansas'],['ucla'],['gonzaga'],['kentucky'],['west-virginia'],['duke'],['louisville'],['creighton'],['virginia'],['florida-state'],['wisconsin'],['north-carolina'],['oregon'],['xavier'],['arizona'],['butler'],['saint-marys-ca'],['purdue'],['virginia-tech'],['cincinnati'],['notre-dame'],['florida'],"['indiana', 'southern-california']"
2017-01-09,['baylor'],['kansas'],['villanova'],['ucla'],['gonzaga'],['kentucky'],['duke'],['creighton'],['florida-state'],['west-virginia'],['north-carolina'],['butler'],['oregon'],['louisville'],['xavier'],['arizona'],['purdue'],['wisconsin'],['virginia'],['notre-dame'],['saint-marys-ca'],['cincinnati'],['florida'],['minnesota'],"['kansas-state', 'southern-california']"
2017-01-16,['villanova'],['kansas'],['ucla'],['gonzaga'],['kentucky'],['baylor'],"['creighton', 'west-virginia']",[],['north-carolina'],['florida-state'],['oregon'],['louisville'],['butler'],['arizona'],['notre-dame'],['virginia'],['wisconsin'],['duke'],['florida'],['cincinnati'],['purdue'],['xavier'],['saint-marys-ca'],['south-carolina'],['maryland']
2017-01-23,['villanova'],['kansas'],['gonzaga'],['kentucky'],['baylor'],['florida-state'],['arizona'],['ucla'],['north-carolina'],['oregon'],['butler'],['virginia'],['louisville'],['notre-dame'],['wisconsin'],['creighton'],['duke'],['west-virginia'],['cincinnati'],['purdue'],['saint-marys-ca'],['maryland'],['south-carolina'],['xavier'],['florida']
2017-01-30,['gonzaga'],['baylor'],['kansas'],['villanova'],['arizona'],['louisville'],['west-virginia'],['kentucky'],['virginia'],['wisconsin'],['ucla'],['north-carolina'],['oregon'],['cincinnati'],['florida-state'],['butler'],['maryland'],['saint-marys-ca'],['south-carolina'],['notre-dame'],['duke'],['creighton'],['purdue'],['florida'],['northwestern']
2017-02-06,['gonzaga'],['villanova'],['kansas'],['louisville'],['oregon'],['baylor'],['wisconsin'],['north-carolina'],['arizona'],['ucla'],['cincinnati'],['virginia'],['west-virginia'],['florida-state'],['kentucky'],['purdue'],['florida'],['duke'],['south-carolina'],['saint-marys-ca'],['maryland'],['butler'],['creighton'],['xavier'],['southern-methodist']
2017-02-13,['gonzaga'],['villanova'],['kansas'],['baylor'],['arizona'],['ucla'],['oregon'],['louisville'],['west-virginia'],['north-carolina'],['wisconsin'],['duke'],['kentucky'],['virginia'],['florida'],['purdue'],['florida-state'],['cincinnati'],['southern-methodist'],['creighton'],['south-carolina'],['saint-marys-ca'],['maryland'],['butler'],['notre-dame']
