team_id,display_name,flair_name,conference,location,year_start,year_end,color
southeast-missouri-state,Southeast Missouri St.,,OVC,"Cape Girardeau, Missouri",1992,2020,#e3373f
southeastern-louisiana,Southeastern Louisiana,Southeastern Louisiana Lions,Southland,"Hammond, Louisiana",1981,2020,#efb21b
southern-california,USC,USC Trojans,Pac-12,"Los Angeles, California",1907,2020,#a4001d
southern-illinois,Southern Illinois,Southern Illinois Salukis,MVC,"Carbondale, Illinois",1968,2020,#84263c
southern-illinois-edwardsville,SIU Edwardsville,,Ind,"Edwardsville, Illinois",2011,2020,#cfab78
southern,Southern,Southern Indiana Screaming Eagles,SWAC,"Baton Rouge, Louisiana",1978,2020,#00529b
southern-methodist,SMU,SMU Mustangs,AAC,"Dallas, Texas",1917,2020,#e11923
southern-mississippi,Southern Miss,,CUSA,"Hattiesburg, Mississippi",1967,2020,#ffc327
southern-utah,Southern Utah,Southern Utah Thunderbirds,Big Sky,"Cedar City, Utah",1989,2020,#cc0000
st-bonaventure,St. Bonaventure,St. Bonaventure Bonnies,A-10,"St. Bonaventure, New York",1920,2020,#65190f
st-francis-ny,St. Francis NY,,NEC,"Brooklyn Heights, New York",1902,2020,#e51836
st-johns-ny,St. John's,St. John's (NY) Red Storm,Big East,"Queens, New York",1908,2020,#d30c43
stanford,Stanford,Stanford Cardinal,Pac-12,"Stanford, California",1914,2020,#a80532
stephen-f-austin,Stephen F. Austin,Stephen F. Austin Lumberjacks,Southland,"Nacogdoches, Texas",1987,2020,#3a3c96
stetson,Stetson,Stetson Hatters,A-Sun,"DeLand, Florida",1972,2020,#d49d5d
stony-brook,Stony Brook,Stony Brook Seawolves,AEC,"Stony Brook, New York",2000,2020,#b71237
syracuse,Syracuse,Syracuse Orange,ACC,"Syracuse, New York",1901,2020,#ff5e15
temple,Temple,Temple Owls,AAC,"Philadelphia, Pennsylvania",1895,2020,#960e30
tennessee-state,Tennessee St.,,OVC,"Nashville, Tennessee",1978,2020,#25377c
tennessee-tech,Tennessee Tech,Tennessee Tech Golden Eagles,OVC,"Cookeville, Tennessee",1944,2020,#670099
tennessee,Tennessee,Tennessee Volunteers,SEC,"Knoxville, Tennessee",1909,2020,#f58220
tennessee-martin,Tennessee Martin,,OVC,"Martin, Tennessee",1993,2020,#012466
texas-am,Texas A&M,Texas A&M Aggies,SEC,"College Station, Texas",1913,2020,#782125
texas-am-corpus-christi,Texas A&M Corpus Chris,Texas A&M-Corpus Christi Islanders,Southland,"Corpus Christi, Texas",2003,2020,#0068af
texas-christian,TCU,TCU Horned Frogs,Big 12,"Fort Worth, Texas",1914,2020,#502e84
texas,Texas,Texas Longhorns,Big 12,"Austin, Texas",1906,2020,#e06f1f
texas-southern,Texas Southern,Texas Southern Tigers,SWAC,"Houston, Texas",1978,2020,#b2b7bb
texas-state,Texas St.,Texas State Bobcats,Sun Belt,"San Marcos, Texas",1985,2020,#571c1f
texas-tech,Texas Tech,Texas Tech Red Raiders,Big 12,"Lubbock, Texas",1926,2020,#de1d1d
texas-arlington,UT Arlington,UT Arlington Mavericks,Sun Belt,"Arlington, Texas",1969,2020,#f47816
texas-el-paso,UTEP,,CUSA,"El Paso, Texas",1923,2020,#002d62
texas-pan-american,UT Rio Grande Valley,,WAC,"Edinburg, Texas",1969,2020,#107a49
texas-san-antonio,UTSA,,CUSA,"San Antonio, Texas",1982,2020,#002a5c
toledo,Toledo,Toledo Rockets,MAC,"Toledo, Ohio",1916,2020,#ffd520
towson,Towson,Towson Tigers,CAA,"Towson, Maryland",1980,2020,#262223
troy,Troy,Troy Trojans,Sun Belt,"Troy, Alabama",1994,2020,#ac2c41
tulane,Tulane,Tulane Green Wave,AAC,"New Orleans, Louisiana",1906,2020,#005837
tulsa,Tulsa,Tulsa Golden Hurricane,AAC,"Tulsa, Oklahoma",1914,2020,#ef3e33
california-davis,UC Davis,,Big West,"Davis, California",2008,2020,#1b3563
california-irvine,UC Irvine,UC Irvine Anteaters,Big West,"Irvine, California",1978,2020,#0d2240
california-riverside,UC Riverside,,Big West,"Riverside, California",2002,2020,#fdb813
california-santa-barbara,UC Santa Barbara,UCSB Gauchos,Big West,"Santa Barbara, California",1964,2020,#1d0f60
ucla,UCLA,UCLA Bruins,Pac-12,"Los Angeles, California",1920,2020,#215d9e
california,California,California Golden Bears,Pac-12,"Berkeley, California",1908,2020,#293074
utah-state,Utah St.,Utah State Aggies,MWC,"Logan, Utah",1904,2020,#113257
utah,Utah,Utah Utes,Pac-12,"Salt Lake City, Utah",1909,2020,#cc0000
utah-valley,Utah Valley,Utah Valley Wolverines,WAC,"Orem, Utah",2010,2020,#004812
valparaiso,Valparaiso,Valparaiso Crusaders,MVC,"Valparaiso, Indiana",1918,2020,#ffda00
vanderbilt,Vanderbilt,Vanderbilt Commodores,SEC,"Nashville, Tennessee",1901,2020,#000000
vermont,Vermont,Vermont Catamounts,AEC,"Burlington, Vermont",1921,2020,#005838
villanova,Villanova,Villanova Wildcats,Big East,"Villanova, Pennsylvania",1921,2020,#13b5ea
virginia,Virginia,Virginia Cavaliers,ACC,"Charlottesville, Virginia",1906,2020,#fd5415
virginia-commonwealth,VCU,VCU Rams,A-10,"Richmond, Virginia",1974,2020,#fab102
virginia-military-institute,VMI,,Big South,"Lexington, Virginia",1909,2020,#c3403c
virginia-tech,Virginia Tech,Virginia Tech Hokies,ACC,"Blacksburg, Virginia",1909,2020,#84023c
wagner,Wagner,,NEC,"Staten Island, New York",1966,2020,#003c2c
wake-forest,Wake Forest,Wake Forest Demon Deacons,ACC,"Winston-Salem, North Carolina",1906,2020,#9e7e38
washington,Washington,Washington Huskies,Pac-12,"Seattle, Washington",1896,2020,#3f366a
washington-state,Washington St.,Washington State Cougars,Pac-12,"Pullman, Washington",1902,2020,#a80532
weber-state,Weber St.,Weber State Wildcats,Big Sky,"Ogden, Utah",1964,2020,#93959b
west-virginia,West Virginia,West Virginia Mountaineers,Big 12,"Morgantown, West Virginia",1904,2020,#002855
western-carolina,Western Carolina,Western Carolina Catamounts,Southern,"Cullowhee, North Carolina",1977,2020,#4a3292
western-illinois,Western Illinois,Western Illinois Leathernecks,Summit,"Macomb, Illinois",1982,2020,#542989
western-kentucky,Western Kentucky,WKU Hilltoppers,CUSA,"Bowling Green, Kentucky",1922,2020,#c6003c
western-michigan,Western Michigan,Western Michigan Broncos,MAC,"Kalamazoo, Michigan",1914,2020,#231f20
wichita-state,Wichita St.,Wichita State Shockers,AAC,"Wichita, Kansas",1906,2020,#030607
william-mary,William & Mary,William & Mary Tribe,CAA,"Williamsburg, Virginia",1906,2020,#115c30
winthrop,Winthrop,Winthrop Eagles,Big South,"Rock Hill, South Carolina",1987,2020,#fdb829
wisconsin,Wisconsin,Wisconsin Badgers,Big Ten,"Madison, Wisconsin",1899,2020,#d31145
wofford,Wofford,Wofford Terriers,Southern,"Spartanburg, South Carolina",1996,2020,#040707
wright-state,Wright St.,Wright State Raiders,Horizon,"Dayton, Ohio",1988,2020,#ffe098
wyoming,Wyoming,Wyoming Cowboys,MWC,"Laramie, Wyoming",1905,2020,#513629
xavier,Xavier,Xavier Musketeers,Big East,"Cincinnati, Ohio",1920,2020,#01296f
yale,Yale,Yale Bulldogs,Ivy,"New Haven, Connecticut",1896,2020,#1c3769
youngstown-state,Youngstown St.,Youngstown State Penguins,Horizon,"Youngstown, Ohio",1948,2020,#dd1834
