team_id,display_name,flair_name,conference,location,year_start,year_end,color
cornell,Cornell,Cornell Big Red,Ivy,"Ithaca, New York",1899,2020,#e01a1d
creighton,Creighton,Creighton Bluejays,Big East,"Omaha, Nebraska",1912,2020,#6cadde
dartmouth,Dartmouth,Dartmouth Big Green,Ivy,"Hanover, New Hampshire",1900,2020,#04703c
davidson,Davidson,Davidson Wildcats,A-10,"Davidson, North Carolina",1909,2020,#e51a37
dayton,Dayton,Dayton Flyers,A-10,"Dayton, Ohio",1904,2020,#df1e36
delaware,Delaware,Delaware Fightin' Blue Hens,CAA,"Newark, Delaware",1906,2020,#047bbc
delaware-state,Delaware St.,,MEAC,"Dover, Delaware",1974,2020,#ee1b2e
denver,Denver,Denver Pioneers,Summit,"Denver, Colorado",1904,2020,#98012e
depaul,DePaul,DePaul Blue Demons,Big East,"Chicago, Illinois",1924,2020,#007ac2
detroit-mercy,Detroit,,Horizon,"Detroit, Michigan",1910,2020,#ae0940
drake,Drake,Drake Bulldogs,MVC,"Des Moines, Iowa",1907,2020,#b4b6bc
drexel,Drexel,Drexel Dragons,CAA,"Philadelphia, Pennsylvania",1895,2020,#043874
duke,Duke,Duke Blue Devils,ACC,"Durham, North Carolina",1906,2020,#00529c
duquesne,Duquesne,Duquesne Dukes,MW Coll,"Pittsburgh, Pennsylvania",1914,2020,#0e0345
east-carolina,East Carolina,ECU Pirates,AAC,"Greenville, North Carolina",1967,2020,#4f2684
east-tennessee-state,East Tennessee St.,East Tennessee State Buccaneers,A-Sun,"Johnson City, Tennessee",1959,2020,#002d62
eastern-illinois,Eastern Illinois,Eastern Illinois Panthers,OVC,"Charleston, Illinois",1982,2020,#1c2224
eastern-kentucky,Eastern Kentucky,Eastern Kentucky Colonels,OVC,"Richmond, Kentucky",1948,2020,#850033
eastern-michigan,Eastern Michigan,Eastern Michigan Eagles,MAC,"Ypsilanti, Michigan",1933,2020,#0d6a41
eastern-washington,Eastern Washington,Eastern Washington Eagles,Big Sky,"Cheney, Washington",1984,2020,#c41230
elon,Elon,Elon Phoenix,CAA,"Elon, North Carolina",2000,2020,#98012e
evansville,Evansville,Evansville Purple Aces,MVC,"Evansville, Indiana",1925,2020,#400e74
fairfield,Fairfield,Fairfield Stags,MAAC,"Fairfield, Connecticut",1965,2020,#b62248
fairleigh-dickinson,Fairleigh Dickinson,Fairleigh Dickinson Knights,NEC,"Teaneck, New Jersey",1968,2020,#00629f
florida-am,Florida A&M,Florida A&M Rattlers,Ind,"Tallahassee, Florida",1980,2020,#01804d
florida-atlantic,Florida Atlantic,,CUSA,"Boca Raton, Florida",1994,2020,#11547f
florida,Florida,Florida Gators,SEC,"Gainesville, Florida",1921,2020,#0d6a40
florida-gulf-coast,Florida Gulf Coast,Florida Gulf Coast Eagles,A-Sun,"Fort Myers, Florida",2011,2020,#008355
florida-international,FIU,,CUSA,"Miami, Florida",1988,2020,#002d62
florida-state,Florida St.,Florida State Seminoles,ACC,"Tallahassee, Florida",1957,2020,#862633
fordham,Fordham,Fordham Rams,A-10,"Bronx, New York",1903,2020,#7a102c
fresno-state,Fresno St.,Fresno State Bulldogs,MWC,"Fresno, California",1956,2020,#ec174f
furman,Furman,Furman Paladins,Southern,"Greenville, South Carolina",1920,2020,#34327c
gardner-webb,Gardner Webb,Gardner-Webb Runnin' Bulldogs,Big South,"Boiling Springs, North Carolina",2003,2020,#ad2730
george-mason,George Mason,George Mason Patriots,A-10,"Fairfax, Virginia",1979,2020,#faac2a
george-washington,George Washington,George Washington Colonials,A-10,"Washington, District of Columbia",1913,2020,#ded09f
georgetown,Georgetown,Georgetown Hoyas,Big East,"Washington, District of Columbia",1907,2020,#06143f
georgia,Georgia,Georgia Bulldogs,SEC,"Athens, Georgia",1906,2020,#142526
georgia-southern,Georgia Southern,Georgia Southern Eagles,Sun Belt,"Statesboro, Georgia",1972,2020,#1f3c73
georgia-state,Georgia St.,Georgia State Panthers,CAA,"Atlanta, Georgia",1974,2020,#0053a5
georgia-tech,Georgia Tech,Georgia Tech Yellow Jackets,ACC,"Atlanta, Georgia",1920,2020,#ebb72c
gonzaga,Gonzaga,Gonzaga Bulldogs,WCC,"Spokane, Washington",1944,2020,#c3c8cd
grambling,Grambling St.,,SWAC,"Grambling, Louisiana",1978,2020,#ffd204
grand-canyon,Grand Canyon,Grand Canyon Antelopes,WAC,"Phoenix, Arizona",2014,2020,#613494
green-bay,Green Bay,Green Bay Phoenix,Horizon,"Green Bay, Wisconsin",1982,2020,#006f51
hampton,Hampton,,Big South,"Hampton, Virginia",1996,2020,#00539d
hartford,Hartford,Hartford Hawks,AEC,"West Hartford, Connecticut",1985,2020,#d12030
harvard,Harvard,Harvard Crimson,Ivy,"Boston, Massachusetts",1901,2020,#c3161c
hawaii,Hawaii,Hawai'i Rainbow Warriors,Big West,"Honolulu, Hawaii",1971,2020,#017543
high-point,High Point,High Point Panthers,Big South,"High Point, North Carolina",2000,2020,#332a86
hofstra,Hofstra,Hofstra Pride,CAA,"Hempstead, New York",1943,2020,#0a4487
holy-cross,Holy Cross,Holy Cross Crusaders,Patriot,"Worcester, Massachusetts",1901,2020,#adadae
houston-baptist,Houston Baptist,,Southland,"Houston, Texas",1974,2020,#01529c
houston,Houston,Houston Cougars,AAC,"Houston, Texas",1951,2020,#8c0c04
howard,Howard,Howard Bison,MEAC,"Washington, District of Columbia",1974,2020,#dc0000
idaho-state,Idaho St.,Idaho State Bengals,Big Sky,"Pocatello, Idaho",1959,2020,#ff5b00
idaho,Idaho,Idaho Vandals,WAC,"Moscow, Idaho",1906,2020,#bc9b6a
illinois,Illinois,Illinois Fighting Illini,Big Ten,"Champaign, Illinois",1906,2020,#ea4b35
illinois-state,Illinois St.,Illinois State Redbirds,MVC,"Normal, Illinois",1899,2020,#221f20
illinois-chicago,Illinois Chicago,UIC Flames,Horizon,"Chicago, Illinois",1982,2020,#cc2044
incarnate-word,Incarnate Word,,Southland,"San Antonio, Texas",2014,2020,#e51b24
indiana,Indiana,Indiana Hoosiers,Big Ten,"Bloomington, Indiana",1901,2020,#b20838
indiana-state,Indiana St.,Indiana State Sycamores,MVC,"Terre Haute, Indiana",1900,2020,#125caa
iona,Iona,Iona Gaels,MAAC,"New Rochelle, New York",1954,2020,#900128
iowa,Iowa,Iowa Hawkeyes,Big Ten,"Iowa City, Iowa",1893,2020,#ffd204
iowa-state,Iowa St.,Iowa State Cyclones,Big 12,"Ames, Iowa",1908,2020,#fdc82f
iupui,IUPUI,IUPUI Jaguars,Horizon,"Indianapolis, Indiana",1999,2020,#ca7a16
jackson-state,Jackson St.,,SWAC,"Jackson, Mississippi",1978,2020,#1f3366
jacksonville,Jacksonville,,A-Sun,"Jacksonville, Florida",1967,2020,#055330
jacksonville-state,Jacksonville St.,Jacksonville State Gamecocks,OVC,"Jacksonville, Alabama",1996,2020,#de3c41
james-madison,James Madison,James Madison Dukes,CAA,"Harrisonburg, Virginia",1977,2020,#d39e0b
kansas,Kansas,Kansas Jayhawks,Big 12,"Lawrence, Kansas",1899,2020,#0069b3
kansas-state,Kansas St.,Kansas State Wildcats,Big 12,"Manhattan, Kansas",1906,2020,#4e2683
kennesaw-state,Kennesaw St.,Kennesaw State Owls,A-Sun,"Kennesaw, Georgia",2010,2020,#000000
kent-state,Kent St.,Kent State Golden Flashes,MAC,"Kent, Ohio",1914,2020,#141b5a
kentucky,Kentucky,Kentucky Wildcats,SEC,"Lexington, Kentucky",1903,2020,#0032a0
la-salle,La Salle,La Salle Explorers,A-10,"Philadelphia, Pennsylvania",1932,2020,#044674
lafayette,Lafayette,Lafayette Leopards,Patriot,"Easton, Pennsylvania",1901,2020,#961c30
lamar,Lamar,,Sun Belt,"Beaumont, Texas",1970,2020,#e41634
lehigh,Lehigh,Lehigh Mountain Hawks,Patriot,"Bethlehem, Pennsylvania",1902,2020,#cfab7a
liberty,Liberty,Liberty Flames,A-Sun,"Lynchburg, Virginia",1989,2020,#981a1d
lipscomb,Lipscomb,Lipscomb Bisons,A-Sun,"Nashville, Tennessee",2004,2020,#feb813
arkansas-little-rock,Little Rock,,Sun Belt,"Little Rock, Arkansas",1979,2020,#6f273a
long-island-university,LIU,,NEC,"Brooklyn, New York",1929,2020,#a1a2a4
longwood,Longwood,Longwood Lancers,Big South,"Farmville, Virginia",2008,2020,#091f40
louisiana-lafayette,Louisiana,,Sun Belt,"Lafayette, Louisiana",1972,2020,#d73f51
louisiana-state,LSU,LSU Tigers,SEC,"Baton Rouge, Louisiana",1909,2020,#4e2683
louisiana-tech,Louisiana Tech,Louisiana Tech Bulldogs,CUSA,"Ruston, Louisiana",1974,2020,#27377d
louisiana-monroe,Louisiana Monroe,,Sun Belt,"Monroe, Louisiana",1974,2020,#000000
louisville,Louisville,Louisville Cardinals,ACC,"Louisville, Kentucky",1912,2020,#d30e45
loyola-il,Loyola Chicago,Loyola Chicago Ramblers,MVC,"Chicago, Illinois",1921,2020,#571c20
loyola-md,Loyola MD,,Patriot,"Baltimore, Maryland",1908,2020,#106549
loyola-marymount,Loyola Marymount,Loyola Marymount Lions,WCC,"Los Angeles, California",1943,2020,#900028
maine,Maine,Maine Black Bears,AEC,"Orono, Maine",1904,2020,#adafb2
manhattan,Manhattan,Manhattan Jaspers,MAAC,"Riverdale, New York",1905,2020,#00703c
marist,Marist,Marist Red Foxes,MAAC,"Poughkeepsie, New York",1982,2020,#e51837
marquette,Marquette,Marquette Golden Eagles,Big East,"Milwaukee, Wisconsin",1917,2020,#FFCC00
marshall,Marshall,Marshall Thundering Herd,CUSA,"Huntington, West Virginia",1919,2020,#007631
maryland,Maryland,Maryland Terrapins,Big Ten,"College Park, Maryland",1924,2020,#e51937
maryland-baltimore-county,UMBC,UMBC Retrievers,AEC,"Baltimore, Maryland",1987,2020,#b38807
maryland-eastern-shore,Maryland Eastern Shore,,MEAC,"Princess Anne, Maryland",1974,2020,#99022f
massachusetts,Massachusetts,UMass Minutemen,A-10,"Amherst, Massachusetts",1926,2020,#b6b8ba
massachusetts-lowell,Massachusetts Lowell,,AEC,"Lowell, Massachusetts",1906,2020,#d63346
mcneese-state,McNeese St.,,Southland,"Lake Charles, Louisiana",1974,2020,#06559d
memphis,Memphis,Memphis Tigers,AAC,"Memphis, Tennessee",1956,2020,#044a8c
mercer,Mercer,Mercer Bears,Southern,"Macon, Georgia",1974,2020,#fe660d
merrimack,Merrimack,Merrimack Warriors,NEC,"North Andover, Massachusetts",2020,2020,#00337F
miami-fl,Miami FL,Miami Hurricanes,ACC,"Coral Gables, Florida",1949,2020,#005838
miami-oh,Miami OH,Miami (OH) RedHawks,MAC,"Oxford, Ohio",1906,2020,#d30224
michigan-state,Michigan St.,Michigan State Spartans,Big Ten,"East Lansing, Michigan",1899,2020,#025b40
michigan,Michigan,Michigan Wolverines,Big Ten,"Ann Arbor, Michigan",1918,2020,#ffd51d
middle-tennessee,Middle Tennessee,Middle Tennessee Blue Raiders,CUSA,"Murfreesboro, Tennessee",1959,2020,#0066a4
milwaukee,Milwaukee,Milwaukee Panthers,Horizon,"Milwaukee, Wisconsin",1974,2020,#000000
minnesota,Minnesota,Minnesota Golden Gophers,Big Ten,"Minneapolis, Minnesota",1896,2020,#840017
mississippi,Mississippi,Ole Miss Rebels,SEC,"University, Mississippi",1909,2020,#e61c39
mississippi-state,Mississippi St.,Mississippi State Bulldogs,SEC,"Mississippi State, Mississippi",1909,2020,#64262c
mississippi-valley-state,Mississippi Valley St.,,SWAC,"Itta Bena, Mississippi",1980,2020,#ee2e24
missouri-state,Missouri St.,Missouri State Bears,MVC,"Springfield, Missouri",1983,2020,#762123
missouri,Missouri,Missouri Tigers,SEC,"Columbia, Missouri",1907,2020,#e9af10
missouri-kansas-city,UMKC,UMKC Kangaroos,WAC,"Kansas City, Missouri",1990,2020,#00469c
monmouth,Monmouth,Monmouth Hawks,MAAC,"West Long Branch, New Jersey",1984,2020,#091f40
montana,Montana,Montana Grizzlies,Big Sky,"Missoula, Montana",1912,2020,#653f0b
montana-state,Montana St.,Montana State Bobcats,Big Sky,"Bozeman, Montana",1902,2020,#c08342
morehead-state,Morehead St.,,OVC,"Morehead, Kentucky",1956,2020,#005dab
morgan-state,Morgan St.,,MEAC,"Baltimore, Maryland",1985,2020,#e5be8c
morris-brown,Morris Brown,,Ind,"Atlanta, Georgia",2002,2003,
mount-st-marys,Mount St. Mary's,Mount St. Mary's Mountaineers,NEC,"Emmitsburg, Maryland",1989,2020,#005596
murray-state,Murray St.,Murray State Racers,OVC,"Murray, Kentucky",1954,2020,#fec52f
navy,Navy,Navy Midshipmen,Patriot,"Annapolis, Maryland",1908,2020,#0f285a
nebraska,Nebraska,Nebraska Cornhuskers,Big Ten,"Lincoln, Nebraska",1897,2020,#e03a3e
nevada,Nevada,Nevada Wolf Pack,MWC,"Reno, Nevada",1913,2020,#002e62
nevada-las-vegas,UNLV,UNLV Rebels,MWC,"Las Vegas, Nevada",1970,2020,#ce1041
new-hampshire,New Hampshire,New Hampshire Wildcats,AEC,"Durham, New Hampshire",1927,2020,#294b8e
new-mexico,New Mexico,New Mexico Lobos,MWC,"Albuquerque, New Mexico",1900,2020,#241f23
new-mexico-state,New Mexico St.,New Mexico State Aggies,WAC,"Las Cruces, New Mexico",1905,2020,#a30046
new-orleans,New Orleans,,Southland,"New Orleans, Louisiana",1976,2020,#0a3254
niagara,Niagara,Niagara Purple Eagles,MAAC,"Niagara University, New York",1906,2020,#342a7a
nicholls-state,Nicholls St.,,Southland,"Thibodaux, Louisiana",1981,2020,#c41230
njit,NJIT,NJIT Highlanders,A-Sun,"Newark, New Jersey",2010,2020,#012d6b
norfolk-state,Norfolk St.,Norfolk State Spartans,MEAC,"Norfolk, Virginia",1998,2020,#fae9b7
north-alabama,North Alabama,North Alabama Lions,A-Sun,"Florence, Alabama",2019,2020,#46166b
north-carolina-at,North Carolina A&T,North Carolina A&T Aggies,MEAC,"Greensboro, North Carolina",1974,2020,#fdb827
north-carolina-central,North Carolina Central,,Ind,"Durham, North Carolina",2011,2020,#99192f
north-carolina-state,N.C. State,NC State Wolfpack,ACC,"Raleigh, North Carolina",1913,2020,#e31836
north-carolina,North Carolina,North Carolina Tar Heels,ACC,"Chapel Hill, North Carolina",1911,2020,#99bfe5
north-carolina-asheville,UNC Asheville,,Big South,"Asheville, North Carolina",1987,2020,#005596
north-carolina-greensboro,UNC Greensboro,UNC Greensboro Spartans,Southern,"Greensboro, North Carolina",1992,2020,#1f3c73
north-carolina-wilmington,UNC Wilmington,,CAA,"Wilmington, North Carolina",1977,2020,#1a2857
north-dakota,North Dakota,North Dakota Fighting Hawks,Summit,"Grand Forks, North Dakota",1905,2020,#00a261
north-dakota-state,North Dakota St.,North Dakota State Bison,Summit,"Fargo, North Dakota",1898,2020,#00583d
north-florida,North Florida,North Florida Ospreys,A-Sun,"Jacksonville, Florida",2010,2020,#021a49
north-texas,North Texas,North Texas Mean Green,CUSA,"Denton, Texas",1922,2020,#00853e
northeastern,Northeastern,Northeastern Huskies,CAA,"Boston, Massachusetts",1938,2020,#e2383f
northern-arizona,Northern Arizona,Northern Arizona Lumberjacks,Big Sky,"Flagstaff, Arizona",1919,2020,#013e7f
northern-colorado,Northern Colorado,Northern Colorado Bears,Big Sky,"Greeley, Colorado",1911,2020,#ffb718
northern-illinois,Northern Illinois,Northern Illinois Huskies,MW Coll,"De Kalb, Illinois",1927,2020,#060709
northern-iowa,Northern Iowa,Northern Iowa Panthers,MVC,"Cedar Falls, Iowa",1981,2020,#473181
northern-kentucky,Northern Kentucky,Northern Kentucky Norse,Horizon,"Highland Heights, Kentucky",2013,2020,#fec52d
northwestern-state,Northwestern St.,Northwestern State Demons,Southland,"Natchitoches, Louisiana",1977,2020,#3f2876
northwestern,Northwestern,Northwestern Wildcats,Big Ten,"Evanston, Illinois",1905,2020,#431f81
notre-dame,Notre Dame,Notre Dame Fighting Irish,ACC,"Notre Dame, Indiana",1897,2020,#022d56
oakland,Oakland,Oakland Golden Grizzlies,Horizon,"Rochester, Michigan",2000,2020,#9b8449
ohio,Ohio,Ohio Bobcats,MAC,"Athens, Ohio",1908,2020,#006f51
ohio-state,Ohio St.,Ohio State Buckeyes,Big Ten,"Columbus, Ohio",1899,2020,#cf0f42
oklahoma,Oklahoma,Oklahoma Sooners,Big 12,"Norman, Oklahoma",1908,2020,#b20837
oklahoma-state,Oklahoma St.,Oklahoma State Cowboys,Big 12,"Stillwater, Oklahoma",1908,2020,#ff5a00
old-dominion,Old Dominion,Old Dominion Monarchs,CUSA,"Norfolk, Virginia",1977,2020,#004877
nebraska-omaha,Nebraska Omaha,Omaha Mavericks,Summit,"Omaha, Nebraska",2013,2020,#e5173f
oral-roberts,Oral Roberts,,Southland,"Tulsa, Oklahoma",1972,2020,#c67207
oregon,Oregon,Oregon Ducks,Pac-12,"Eugene, Oregon",1903,2020,#007550
oregon-state,Oregon St.,Oregon State Beavers,Pac-12,"Corvallis, Oregon",1902,2020,#e24407
pacific,Pacific,Pacific Tigers,WCC,"Stockton, California",1938,2020,#000000
penn-state,Penn St.,Penn State Nittany Lions,Big Ten,"University Park, Pennsylvania",1897,2020,#00275d
pennsylvania,Penn,Pennsylvania Quakers,Ivy,"Philadelphia, Pennsylvania",1897,2020,#06458a
pepperdine,Pepperdine,Pepperdine Waves,WCC,"Malibu, California",1944,2020,#1a427e
pittsburgh,Pittsburgh,Pittsburgh Panthers,ACC,"Pittsburgh, Pennsylvania",1906,2020,#0c233f
portland,Portland,Portland Pilots,WCC,"Portland, Oregon",1954,2020,#24205e
portland-state,Portland St.,Portland State Vikings,Big Sky,"Portland, Oregon",1973,2020,#104735
prairie-view,Prairie View A&M,Prairie View A&M Panthers,SWAC,"Prairie View, Texas",1981,2020,#1a427e
presbyterian,Presbyterian,Presbyterian Blue Hose,Big South,"Clinton, South Carolina",2011,2020,#0060aa
princeton,Princeton,Princeton Tigers,Ivy,"Princeton, New Jersey",1901,2020,#ec8e24
providence,Providence,Providence Friars,Big East,"Providence, Rhode Island",1929,2020,#b6b7bb
purdue,Purdue,Purdue Boilermakers,Big Ten,"West Lafayette, Indiana",1897,2020,#dcca95
ipfw,Purdue Fort Wayne,,Summit,"Fort Wayne, Indiana",2003,2020,#d0d1d3
quinnipiac,Quinnipiac,Quinnipiac Bobcats,MAAC,"Hamden, Connecticut",1999,2020,#153561
radford,Radford,Radford Highlanders,Big South,"Radford, Virginia",1985,2020,#e33c42
rhode-island,Rhode Island,Rhode Island Rams,A-10,"Kingston, Rhode Island",1904,2020,#0d166a
rice,Rice,Rice Owls,CUSA,"Houston, Texas",1915,2020,#003876
richmond,Richmond,Richmond Spiders,A-10,"Richmond, Virginia",1913,2020,#002a5c
rider,Rider,,MAAC,"Lawrenceville, New Jersey",1929,2020,#a91d36
robert-morris,Robert Morris,Robert Morris Colonials,NEC,"Moon Township, Pennsylvania",1977,2020,#183562
rutgers,Rutgers,Rutgers Scarlet Knights,Big Ten,"New Brunswick, New Jersey",1914,2020,#e51937
sacramento-state,Sacramento St.,Sacramento State Hornets,Big Sky,"Sacramento, California",1992,2020,#00573d
sacred-heart,Sacred Heart,Sacred Heart Pioneers,NEC,"Fairfield, Connecticut",2000,2020,#d01e43
saint-francis-pa,St. Francis PA,,NEC,"Loretto, Pennsylvania",1956,2020,#000000
saint-josephs,Saint Joseph's,St. Joseph's (PA) Hawks,A-10,"Philadelphia, Pennsylvania",1910,2020,#a4001d
saint-louis,Saint Louis,Saint Louis Billikens,A-10,"St. Louis, Missouri",1916,2020,#082b82
saint-marys-ca,Saint Mary's,St. Mary's (CA) Gaels,WCC,"Moraga, California",1910,2020,#d80024
saint-peters,Saint Peter's,,MAAC,"Jersey City, New Jersey",1966,2020,#107dc2
sam-houston-state,Sam Houston St.,Sam Houston State Bearkats,Southland,"Huntsville, Texas",1987,2020,#f78f1e
samford,Samford,,Southern,"Birmingham, Alabama",1973,2020,#002a5c
san-diego-state,San Diego St.,San Diego State Aztecs,MWC,"San Diego, California",1971,2020,#d6161b
san-diego,San Diego,San Diego Toreros,WCC,"San Diego, California",1980,2020,#003e7e
san-francisco,San Francisco,San Francisco Dons,WCC,"San Francisco, California",1924,2020,#fdba31
san-jose-state,San Jose St.,,MWC,"San Jose, California",1938,2020,#0362ac
santa-clara,Santa Clara,Santa Clara Broncos,WCC,"Santa Clara, California",1909,2020,#b2b4b8
savannah-state,Savannah St.,,MEAC,"Savannah, Georgia",2003,2019,#0154a5
seattle,Seattle,Seattle Redhawks,WAC,"Seattle, Washington",1953,2020,#ce143f
seton-hall,Seton Hall,Seton Hall Pirates,Big East,"South Orange, New Jersey",1909,2020,#0060a9
siena,Siena,Siena Saints,MAAC,"Loudonville, New York",1939,2020,#643313
south-alabama,South Alabama,South Alabama Jaguars,Sun Belt,"Mobile, Alabama",1972,2020,#003d7d
south-carolina,South Carolina,South Carolina Gamecocks,SEC,"Columbia, South Carolina",1909,2020,#000000
south-carolina-state,South Carolina St.,,MEAC,"Orangeburg, South Carolina",1972,2020,#90192b
south-carolina-upstate,USC Upstate,,Big South,"Spartanburg, South Carolina",2011,2020,#166936
south-dakota,South Dakota,South Dakota Coyotes,Summit,"Vermillion, South Dakota",2011,2020,#cd1041
south-dakota-state,South Dakota St.,South Dakota State Jackrabbits,Summit,"Brookings, South Dakota",2009,2020,#ffde00
south-florida,South Florida,USF Bulls,AAC,"Tampa, Florida",1974,2020,#00563f
