Rank,points,team_id
1,449,kentucky
2,444,duke
3,360,north-carolina
4,201,tennessee
5,174,gonzaga
6,161,arizona-state
7,147,texas-tech
8,139,auburn
9,132,oklahoma-state
10,128,illinois
11,122,arkansas
12,112,louisiana-state
13,109,virginia
14,98,southern-california
14,98,michigan-state
16,96,florida-state
17,95,stanford
18,94,michigan
19,93,texas
20,83,connecticut
21,82,miami-fl
21,82,marquette
23,80,kansas
24,68,arizona
25,60,mississippi
26,59,florida
27,56,texas-am
28,55,rutgers
29,50,clemson
30,49,baylor
31,47,xavier
32,45,mississippi-state
33,41,utah
34,40,iowa-state
35,34,north-carolina-state
36,30,purdue
37,29,west-virginia
38,28,oregon
39,27,virginia-tech
40,26,houston
41,24,south-florida
42,21,alabama
43,20,indiana
44,17,ucla
45,15,georgia
46,12,syracuse
47,8,cincinnati
48,4,creighton
49,3,butler
50,1,pittsburgh
