Rank,points,team_id
1,448,duke
2,411,kentucky
3,272,oregon
4,268,louisiana-state
5,245,kansas
6,215,vanderbilt
7,214,ucla
8,209,north-carolina
9,183,villanova
10,163,texas
11,162,maryland
12,150,southern-california
13,140,indiana
14,132,florida
15,116,mississippi-state
16,107,providence
17,97,arizona
18,96,arizona-state
19,92,western-kentucky
20,91,wake-forest
21,81,nevada
22,69,illinois
23,64,michigan-state
24,62,michigan
25,59,ohio-state
26,58,notre-dame
27,56,texas-tech
28,52,georgia-tech
29,51,iowa-state
29,51,minnesota
31,49,syracuse
32,47,iowa
33,44,marquette
34,41,stanford
35,36,saint-louis
36,32,boston-college
37,29,virginia-tech
38,28,california
39,26,northwestern
40,22,northern-iowa
41,21,memphis
42,20,gonzaga
43,16,west-virginia
44,15,baylor
45,13,rhode-island
46,12,connecticut
47,10,south-carolina
48,6,nevada-las-vegas
48,6,alabama
50,3,north-carolina-state
51,2,harvard
