Rank,team_id,display_name
1,kentucky,Kentucky
2,ohio-state,Ohio St.
3,north-carolina,North Carolina
4,memphis,Memphis
5,syracuse,Syracuse
6,duke,Duke
7,north-carolina-state,N.C. State
8,texas,Texas
9,florida,Florida
10,michigan-state,Michigan St.
11,tennessee,Tennessee
12,wake-forest,Wake Forest
13,illinois,Illinois
14,missouri,Missouri
15,ucla,UCLA
16,florida-state,Florida St.
17,marquette,Marquette
18,stanford,Stanford
19,louisiana-state,LSU
20,connecticut,Connecticut
21,maryland,Maryland
22,baylor,Baylor
23,kansas,Kansas
24,california,California
25,south-carolina,South Carolina
