Rank,team_id,display_name
1,kentucky,Kentucky
2,kansas,Kansas
3,memphis,Memphis
4,indiana,Indiana
5,arizona,Arizona
6,syracuse,Syracuse
7,duke,Duke
8,louisville,Louisville
9,louisiana-state,LSU
10,florida,Florida
11,marquette,Marquette
12,michigan,Michigan
13,north-carolina-state,N.C. State
14,brigham-young,BYU
15,illinois,Illinois
16,north-carolina,North Carolina
17,notre-dame,Notre Dame
18,arkansas,Arkansas
19,missouri,Missouri
20,west-virginia,West Virginia
21,california,California
22,south-florida,South Florida
23,south-carolina,South Carolina
24,cincinnati,Cincinnati
25,baylor,Baylor
26,pittsburgh,Pittsburgh
27,texas,Texas
28,washington,Washington
29,ucla,UCLA
30,iowa-state,Iowa St.
31,villanova,Villanova
32,wisconsin,Wisconsin
33,texas-el-paso,UTEP
34,texas-christian,TCU
35,alabama,Alabama
36,florida-state,Florida St.
37,ohio-state,Ohio St.
38,purdue,Purdue
39,oklahoma-state,Oklahoma St.
40,colorado,Colorado
