Rank,team_id,display_name
1,duke,Duke
2,kentucky,Kentucky
3,arizona,Arizona
4,missouri,Missouri
5,ucla,UCLA
6,texas,Texas
7,louisville,Louisville
8,alabama,Alabama
9,florida-state,Florida St.
10,miami-fl,Miami FL
11,florida,Florida
12,oregon,Oregon
13,xavier,Xavier
14,louisiana-state,LSU
15,michigan-state,Michigan St.
16,virginia-tech,Virginia Tech
17,north-carolina,North Carolina
18,southern-california,USC
19,iowa-state,Iowa St.
20,arkansas,Arkansas
21,kansas,Kansas
22,oklahoma,Oklahoma
23,stanford,Stanford
24,michigan,Michigan
25,nevada-las-vegas,UNLV
26,ohio-state,Ohio St.
27,texas-am,Texas A&M
28,auburn,Auburn
29,iowa,Iowa
30,providence,Providence
31,georgia,Georgia
32,saint-louis,Saint Louis
33,arizona-state,Arizona St.
34,oregon-state,Oregon St.
35,creighton,Creighton
36,wisconsin,Wisconsin
37,butler,Butler
38,western-kentucky,Western Kentucky
39,villanova,Villanova
40,colorado,Colorado
