Rank,points,team_id
1,582,kentucky
2,451,duke
3,264,arizona
4,254,ucla
5,224,texas
6,219,louisville
7,208,missouri
8,176,alabama
9,129,kansas
10,120,miami-fl
11,116,xavier
12,115,florida-state
13,114,stanford
14,110,michigan-state
15,96,auburn
16,90,nevada-las-vegas
17,89,oregon
18,88,virginia-tech
19,83,villanova
20,81,oklahoma
21,80,arkansas
22,78,iowa-state
23,75,mississippi-state
24,74,north-carolina
25,70,oregon-state
26,67,wake-forest
27,65,southern-california
28,63,louisiana-state
29,62,providence
30,58,notre-dame
31,52,georgia
32,49,saint-louis
33,46,arizona-state
34,45,texas-am
35,43,maryland
36,40,minnesota
36,40,creighton
38,39,western-kentucky
39,37,washington
40,34,purdue
41,33,wisconsin
42,26,colorado
43,24,st-johns-ny
44,22,west-virginia
44,22,seton-hall
46,19,davidson
47,18,ohio-state
48,16,utah
49,14,indiana
50,13,mississippi
50,13,florida
52,11,illinois
53,8,iowa
54,2,michigan
