Rank,points,team_id
1,448,kentucky
2,440,duke
3,301,michigan-state
4,275,arizona
5,250,ucla
6,201,texas
7,191,virginia
8,180,north-carolina
9,168,kansas
10,153,connecticut
11,149,miami-fl
12,147,mississippi-state
13,126,florida-state
14,111,syracuse
15,101,maryland
16,97,auburn
17,96,washington
18,86,arizona-state
18,86,indiana
20,84,villanova
21,83,texas-am
22,80,north-carolina-state
23,76,louisville
23,76,marquette
25,73,gonzaga
26,69,oregon
27,67,oklahoma
28,65,st-johns-ny
29,61,minnesota
30,58,penn-state
31,54,virginia-commonwealth
32,47,michigan
33,46,massachusetts
34,45,alabama
35,43,california
36,42,texas-christian
37,38,iowa
38,35,ohio-state
39,34,cincinnati
40,33,brigham-young
41,26,southern-california
42,24,xavier
43,23,notre-dame
44,22,baylor
45,21,georgia
46,15,oregon-state
47,8,southern-methodist
48,7,utah
49,5,harvard
50,1,seton-hall
