Rank,points,team_id
1,352,duke
2,296,arizona
3,270,kentucky
4,230,louisiana-state
5,219,kansas
6,215,texas-am
7,201,louisville
8,194,california
9,164,texas
10,156,syracuse
11,149,nevada-las-vegas
11,149,florida-state
13,131,washington
14,127,ohio-state
15,124,memphis
16,120,connecticut
17,112,southern-california
18,111,marquette
19,109,michigan-state
20,106,ucla
21,96,mississippi-state
22,94,maryland
23,91,oregon
24,87,illinois
25,85,purdue
26,82,villanova
27,79,arkansas
28,77,south-carolina
29,76,indiana
29,76,auburn
31,74,oklahoma-state
32,67,georgetown
33,65,florida
34,57,oregon-state
35,52,west-virginia
36,46,virginia-tech
37,38,creighton
38,37,nebraska
39,35,baylor
39,35,wake-forest
41,33,san-diego-state
42,25,st-johns-ny
43,24,wisconsin
44,20,rutgers
45,12,southern-methodist
46,11,virginia-commonwealth
47,4,michigan
48,3,alabama
