Rank,points,team_id
1,347,kentucky
2,324,arizona
3,317,ucla
4,221,north-carolina
5,216,north-carolina-state
6,202,baylor
7,184,indiana
8,179,nevada-las-vegas
9,176,michigan
10,169,duke
10,169,providence
12,147,texas
13,143,syracuse
14,134,pittsburgh
15,119,kansas
16,116,michigan-state
17,109,houston
18,103,villanova
19,101,maryland
20,92,oklahoma-state
21,89,virginia
22,85,colorado
23,82,wisconsin
24,81,georgia-tech
25,79,alabama
26,72,iowa
27,68,san-diego-state
28,66,memphis
29,64,georgetown
30,62,connecticut
30,62,florida
32,56,texas-am
33,55,notre-dame
34,54,st-johns-ny
35,52,xavier
36,48,fresno-state
37,45,oregon
38,42,florida-state
38,42,louisville
40,40,west-virginia
41,37,wake-forest
42,35,purdue
43,32,stanford
44,31,auburn
45,30,iowa-state
46,19,marquette
47,17,miami-fl
48,7,california
49,5,butler
50,3,utah
