Rank,team_id,display_name
1,duke,Duke
2,kentucky,Kentucky
3,north-carolina,North Carolina
4,louisville,Louisville
5,ohio-state,Ohio St.
6,arizona,Arizona
7,georgetown,Georgetown
8,maryland,Maryland
9,kansas,Kansas
10,ucla,UCLA
11,nevada-las-vegas,UNLV
12,seton-hall,Seton Hall
13,florida,Florida
14,virginia-commonwealth,VCU
15,stanford,Stanford
16,southern-california,USC
17,san-diego-state,San Diego St.
18,north-carolina-state,N.C. State
19,virginia-tech,Virginia Tech
20,missouri,Missouri
21,texas,Texas
22,indiana,Indiana
23,xavier,Xavier
24,syracuse,Syracuse
25,brigham-young,BYU
26,purdue,Purdue
27,providence,Providence
28,alabama,Alabama
29,vanderbilt,Vanderbilt
30,michigan,Michigan
31,northwestern,Northwestern
32,michigan-state,Michigan St.
33,utah,Utah
34,southern-methodist,SMU
35,miami-fl,Miami FL
36,louisiana-state,LSU
37,villanova,Villanova
38,oklahoma,Oklahoma
39,arkansas,Arkansas
40,oklahoma-state,Oklahoma St.
