Rank,points,team_id
1,349,memphis
2,334,kentucky
3,329,duke
4,291,arizona
5,254,villanova
6,226,florida
7,216,washington
8,212,southern-california
9,207,north-carolina
10,184,ohio-state
11,177,georgia
12,174,gonzaga
13,155,louisville
13,155,texas
15,112,oregon
15,112,michigan-state
17,109,florida-state
18,91,texas-tech
19,81,tennessee
20,79,virginia
21,75,indiana
22,73,west-virginia
23,70,miami-fl
24,68,connecticut
25,65,auburn
26,63,north-carolina-state
27,58,illinois
28,57,oklahoma
29,55,michigan
30,48,depaul
31,41,maryland
32,40,providence
33,32,iowa
34,29,texas-christian
35,27,kansas
36,25,alabama
37,24,missouri
38,21,virginia-tech
39,18,xavier
39,18,oklahoma-state
41,15,massachusetts
42,13,stanford
43,11,northwestern
44,10,syracuse
45,5,ucla
46,1,utah
