Rank,points,team_id
1,557,kentucky
2,411,kansas
3,237,memphis
4,234,duke
5,213,indiana
6,184,florida
7,182,arizona
8,179,louisiana-state
9,160,marquette
10,142,syracuse
11,141,arkansas
12,140,north-carolina
13,129,michigan
14,116,north-carolina-state
15,112,louisville
16,100,baylor
17,94,brigham-young
18,92,notre-dame
19,82,texas-el-paso
20,81,california
21,79,tennessee
22,76,cincinnati
23,75,st-johns-ny
23,75,illinois
25,74,southern-methodist
25,74,washington
27,73,missouri
28,67,south-carolina
29,62,oklahoma-state
30,60,ohio-state
31,58,florida-state
32,56,nevada-las-vegas
33,55,maryland
33,55,purdue
35,53,providence
36,52,ucla
37,49,iowa-state
38,46,west-virginia
39,41,south-florida
40,37,texas-christian
41,34,alabama
42,30,villanova
43,28,oregon
44,26,georgetown
45,22,wisconsin
46,21,california-irvine
47,19,vanderbilt
48,16,pittsburgh
49,11,connecticut
50,10,harvard
51,9,san-diego-state
52,5,stanford
53,3,xavier
54,1,colorado
54,1,texas
