Rank,team_id,display_name
1,memphis,Memphis
2,duke,Duke
3,kentucky,Kentucky
4,oregon,Oregon
5,georgia,Georgia
6,washington,Washington
7,arizona,Arizona
8,villanova,Villanova
9,southern-california,USC
10,louisville,Louisville
11,north-carolina,North Carolina
12,florida,Florida
13,ohio-state,Ohio St.
14,gonzaga,Gonzaga
15,florida-state,Florida St.
16,texas,Texas
17,alabama,Alabama
18,texas-tech,Texas Tech
19,connecticut,Connecticut
20,oklahoma,Oklahoma
21,auburn,Auburn
22,kansas,Kansas
23,xavier,Xavier
24,oklahoma-state,Oklahoma St.
25,michigan-state,Michigan St.
