Rank,team_id,display_name
1,kentucky,Kentucky
2,duke,Duke
3,north-carolina,North Carolina
4,tennessee,Tennessee
5,arkansas,Arkansas
6,auburn,Auburn
7,gonzaga,Gonzaga
8,oklahoma-state,Oklahoma St.
9,michigan,Michigan
10,stanford,Stanford
11,indiana,Indiana
12,arizona-state,Arizona St.
13,louisiana-state,LSU
14,texas-tech,Texas Tech
15,illinois,Illinois
16,virginia,Virginia
17,connecticut,Connecticut
18,iowa-state,Iowa St.
19,wisconsin,Wisconsin
20,florida-state,Florida St.
21,marquette,Marquette
22,baylor,Baylor
23,xavier,Xavier
24,north-carolina-state,N.C. State
25,kansas,Kansas
