Rank,points,team_id
1,359,duke
2,346,kentucky
3,254,north-carolina
4,239,nevada-las-vegas
5,232,kansas
6,223,ucla
7,217,arizona
8,211,louisville
9,204,ohio-state
10,203,florida
11,162,georgetown
12,147,maryland
13,146,seton-hall
14,140,stanford
15,136,indiana
16,131,syracuse
17,126,north-carolina-state
18,112,texas
19,100,san-diego-state
20,99,southern-methodist
21,91,southern-california
22,84,connecticut
23,74,michigan
24,71,oregon
25,70,xavier
26,62,virginia-commonwealth
27,60,providence
28,59,missouri
29,58,miami-fl
30,55,illinois
31,54,virginia-tech
32,50,gonzaga
33,46,brigham-young
34,45,louisiana-state
35,44,utah
36,43,texas-am
37,34,alabama
38,33,rhode-island
39,28,creighton
40,27,memphis
41,26,marquette
42,23,michigan-state
43,22,villanova
44,21,clemson
44,21,vanderbilt
46,19,purdue
47,18,virginia
48,13,oklahoma-state
49,11,georgia-tech
49,11,northwestern
51,2,tennessee
